salario_hora,no_ambos_padres_bio,educacion,edad,afqt_score,mujer,hispano,negro
7.2699999999999996,1,12,49,28,0,0,0
18,1,12,49,35,0,0,0
24,0,13,50,93,1,0,0
5.7599999999999998,0,11,45,17,0,0,0
10,0,11,50,20,0,0,0
,0,12,49,20,0,0,0
16.920000000000002,0,12,47,23,0,0,0
17.25,0,12,51,8,0,0,0
11.25,0,12,49,33,1,0,0
12.300000000000001,0,13,47,18,1,0,0
17.399999999999999,1,11,51,53,0,0,0
12,0,12,48,29,1,0,0
0.98999999999999999,0,15,48,71,1,0,0
31.460000000000001,0,20,46,96,0,0,0
17.010000000000002,1,12,45,11,0,0,0
174.81999999999999,0,13,50,81,0,0,0
32.299999999999997,0,15,49,73,0,0,0
2.7400000000000002,0,12,52,70,0,0,0
33.380000000000003,0,12,50,57,0,0,0
,0,13,46,34,1,0,0
14,1,12,48,22,0,0,0
,0,12,47,25,1,0,0
26.780000000000001,1,12,47,20,0,0,0
,0,12,52,30,1,0,0
79.319999999999993,0,14,47,94,1,0,0
51.280000000000001,0,17,51,73,0,0,0
19.23,0,18,50,83,1,0,0
13.75,1,14,50,3,1,0,1
21.25,0,12,52,34,1,0,1
23.789999999999999,0,13,48,71,1,0,0
25,0,12,47,50,0,0,0
18.309999999999999,0,13,49,28,1,0,0
31.25,0,16,46,16,0,0,0
44.07,1,19,52,91,1,0,0
27,1,12,50,26,0,0,1
19,0,12,48,62,1,1,0
15.380000000000001,0,12,46,16,1,1,0
31.25,1,16,48,25,1,0,1
10.4,0,12,50,9,1,0,1
,0,13,49,12,1,0,1
10.5,0,15,50,52,1,0,0
33.170000000000002,0,12,49,41,0,1,0
11.130000000000001,0,12,47,32,0,1,0
,0,14,46,25,1,1,0
8.9100000000000001,1,12,47,75,1,0,0
8.75,0,12,49,40,0,0,0
14,0,12,48,24,1,0,0
25,0,12,50,54,0,0,0
15.5,0,14,50,42,0,0,0
10,0,16,51,62,1,0,0
46.149999999999999,0,17,48,96,0,0,0
33.840000000000003,0,16,47,75,0,0,0
30.760000000000002,0,17,45,59,0,0,0
9.3000000000000007,1,14,45,38,1,0,0
12.82,0,13,45,32,0,1,0
,1,12,50,46,1,0,0
,1,12,45,21,1,0,0
