Fecha,Tributarios ,Tributarios (SA)
mar.-18,_-* 10305_-,_-* 10637.72_-
abr.-18,_-* 12404_-,_-* 10223.53_-
may.-18,_-* 12933_-,_-* 10540.71_-
jun.-18,_-* 12214_-,_-* 11020.06_-
jul.-18,_-* 11648_-,_-* 11640.81_-
ago.-18,_-* 8084_-,_-* 11983.77_-
sept.-18,_-* 14068_-,_-* 11173.88_-
oct.-18,_-* 8009_-,_-* 11869.38_-
nov.-18,_-* 12350_-,_-* 11597.24_-
dic.-18,_-* 10866_-,_-* 14969.65_-
ene.-19,_-* 16194_-,_-* 11274.41_-
feb.-19,_-* 8483_-,_-* 12026.61_-
mar.-19,_-* 11567_-,_-* 11641.94_-
abr.-19,_-* 13036_-,_-* 11231.55_-
may.-19,_-* 15215_-,_-* 12707.06_-
jun.-19,_-* 13571_-,_-* 12775.28_-
jul.-19,_-* 13264_-,_-* 13159.35_-
ago.-19,_-* 9010_-,_-* 13144.61_-
sept.-19,_-* 16235_-,_-* 13099.40_-
oct.-19,_-* 8895_-,_-* 12838.46_-
nov.-19,_-* 13645_-,_-* 12589.75_-
dic.-19,_-* 9297_-,_-* 12411.98_-
ene.-20,_-* 18660_-,_-* 12836.78_-
feb.-20,_-* 9777_-,_-* 13729.75_-
mar.-20,_-* 11941_-,_-* 11807.47_-
abr.-20,_-* 9922_-,_-* 8719.30_-
may.-20,_-* 11504_-,_-* 9861.86_-
jun.-20,_-* 10070_-,_-* 9879.30_-
jul.-20,_-* 9177_-,_-* 8939.93_-
ago.-20,_-* 6578_-,_-* 9408.59_-
sept.-20,_-* 12700_-,_-* 10365.45_-
oct.-20,_-* 8059_-,_-* 11320.19_-
nov.-20,_-* 13315_-,_-* 12149.02_-
dic.-20,_-* 9054_-,_-* 11871.91_-
ene.-21,_-* 17487_-,_-* 12187.81_-
feb.-21,_-* 8893_-,_-* 12481.54_-
mar.-21,_-* 12691_-,_-* 12688.17_-
abr.-21,_-* 13703_-,_-* 12182.85_-
may.-21,_-* 15499_-,_-* 13124.44_-
jun.-21,_-* 13017_-,_-* 13041.49_-
jul.-21,_-* 13830_-,_-* 13059.83_-
ago.-21,_-* 10275_-,_-* 14254.42_-
sept.-21,_-* 17330_-,_-* 14211.80_-
oct.-21,_-* 10246_-,_-* 14432.16_-
nov.-21,_-* 16796_-,_-* 15411.95_-
dic.-21,_-* 12455_-,_-* 16432.48_-
ene.-22,_-* 21741_-,_-* 15395.45_-
feb.-22,_-* 11847_-,_-* 16793.74_-
mar.-22,_-* 16602_-,_-* 16803.29_-
abr.-22,_-* 20536_-,_-* 18541.18_-
may.-22,_-* 19536_-,_-* 15964.08_-
jun.-22,_-* 16699_-,_-* 17054.38_-
jul.-22,_-* 21292_-,_-* 19112.94_-
ago.-22,_-* 13794_-,_-* 18813.03_-
sept.-22,_-* 22439_-,_-* 18387.90_-
oct.-22,_-* 13504_-,_-* 19126.14_-
nov.-22,_-* 20228_-,_-* 19097.44_-
dic.-22,_-* 13773_-,_-* 18292.65_-
ene.-23,_-* 27479_-,_-* 19697.25_-
feb.-23,_-* 13610_-,_-* 19506.68_-
mar.-23,_-* 19282_-,_-* 19860.59_-
abr.-23,_-* 31138_-,_-* 29407.44_-
may.-23,_-* 24918_-,_-* 19097.01_-
jun.-23,_-* 26106_-,_-* 26928.97_-
jul.-23,_-* 24579_-,_-* 21006.50_-
ago.-23,_-* 22038_-,_-* 30105.49_-
sept.-23,_-* 25558_-,_-* 20715.60_-
oct.-23,_-* 13960_-,_-* 20069.97_-
nov.-23,_-* 20698_-,_-* 20530.62_-
dic.-23,_-* 13816_-,_-* 18211.58_-
ene.-24,_-* 28592_-,_-* 20658.59_-
feb.-24,_-* 14166_-,_-* 20211.45_-
mar.-24,_-* 20535_-,_-* 21092.09_-
abr.-24,_-* 17929_-,_-* 17841.19_-
may.-24,_-* 27995_-,_-* 20423.23_-
jun.-24,_-* 16925_-,_-* 18022.61_-
jul.-24,_-* 27757_-,_-* 22672.21_-
ago.-24,_-* 13670_-,_-* 19062.73_-
sept.-24,_-* 25745_-,_-* 20484.40_-
oct.-24,_-* 14161_-,_-* 20401.42_-
nov.-24,_-* 19448_-,_-* 20244.32_-
dic.-24,_-* 18121_-,_-* 23183.03_-
ene.-25,_-* 28912_-,_-* 21093.66_-
feb.-25,_-* 15001_-,_-* 21208.00_-
mar.-25,_-* 20484_-,_-* 21130.90_-
abr.-25,_-* 20304_-,_-* 20968.92_-
may.-25,_-* 30254_-,_-* 21516.50_-
jun.-25,_-* 20468_-,_-* 22192.54_-
jul.-25,_-* 30858_-,_-* 24538.61_-
ago.-25,_-* 15944_-,_-* 22541.68_-
sept.-25,_-* 29699_-,_-* 23334.82_-
oct.-25,_-* 16236_-,_-* 23404.17_-
nov.-25,_-* 20699_-,_-* 22178.76_-
dic.-25,_-* 23057_-,_-* 28870.19_-
ene.-26,_-* 31459_-,_-* 23177.88_-
feb.-26,_-* 17727_-,_-* 24762.52_-
mar.-26,_-* 23517_-,_-* 24270.43_-
abr.-26,_-* 19936_-,_-* 20771.00_-
may.-26,_-* 36717_-,_-* 25971.32_-
jun.-26,_-* 23757_-,_-* 26130.28_-
